instance_no,card,size,time
329,2922,12958,217.738
329,3153,14083,242.138
329,3362,15039,1562.45
329,3528,15820,285.298
329,3635,16399,298.399
329,3701,16789,310.287
329,3745,17031,320.618
329,3765,17126,482.384
329,3758,17112,328.047
329,3727,17000,330.01
329,3680,16820,328.954
329,3633,16612,325.988
329,3596,16437,320.776
329,3563,16321,318.507
329,3528,16217,316.068
329,3494,16113,313.646
329,3471,15995,308.983
329,3461,15874,305.294
329,3440,15746,341.485
329,3394,15598,298.773
329,3347,15442,293.34
329,3316,15284,289.336
329,3290,15200,285.817
329,3256,15158,283.127
329,3214,15088,280.36
329,3180,15062,354.015
329,3165,15107,274.176
329,3149,15152,273.701
329,3104,15168,273.445
329,3035,15130,273.511
329,2964,14910,271.712
329,2890,14542,266.744
329,2797,14123,261.09
329,2677,13610,252.66
329,2536,12948,243.566
329,2390,12182,229.971
329,2244,11349,214.031
329,2085,10525,196.981
329,1908,9773,180.707
329,1734,9025,164.86
329,1583,8306,149.069
329,1442,7678,134.821
329,1295,7111,121.676
329,1161,6588,109.412
329,1061,6137,99.425
329,983,5780,91.229
329,911,5482,83.962
329,846,5206,76.888
329,790,4943,70.699
329,743,4704,65.667
329,704,4450,61.14
329,665,4174,57.12
329,618,3922,52.609
329,565,3669,48.705
329,512,3334,44.564
329,456,2935,40.716
329,390,2530,35.193
329,321,2144,29.398
329,263,1801,24.314
329,214,1496,20.497
329,166,1173,16.632
329,126,892,12.352
329,104,737,9.069
329,98,684,7.8
329,103,700,7.754
329,119,799,8.13
329,144,968,9.137
329,170,1133,10.91
329,192,1258,12.883
329,213,1368,14.343
329,234,1482,15.664
329,249,1578,16.591
329,255,1633,17.374
329,256,1632,17.932
329,255,1568,18.28
329,249,1478,17.93
329,234,1408,17.006
329,214,1353,15.833
329,199,1285,15.148
329,193,1212,14.735
329,192,1159,14.563
329,192,1135,14.411
329,193,1131,14.259
329,199,1147,14.249
329,214,1186,15.391
329,234,1226,16.353
329,249,1255,17.214
329,255,1284,17.868
329,256,1317,18.151
329,255,1328,18.468
329,249,1294,18.421
329,234,1236,17.567
329,214,1192,16.341
329,199,1175,15.379
329,193,1164,14.9
329,193,1145,14.71
329,199,1175,35.089
329,215,1277,16.497
329,242,1424,18.299
329,278,1602,21.212
329,321,1823,24.553
329,368,2073,28.716
329,416,2308,32.828
329,465,2530,37.131
329,518,2774,41.151
329,575,3028,45.988
329,626,3250,51.018
329,660,3398,54.611
329,683,3507,57.244
329,709,3642,60.061
329,732,3735,62.751
329,732,3697,63.863
329,708,3531,62.947
329,678,3341,59.728
329,650,3179,56.713
329,616,2986,53.217
329,569,2742,49.895
329,512,2488,45.523
329,454,2221,40.213
329,399,1943,34.767
329,341,1682,30.025
329,279,1457,25.622
329,228,1255,21.204
329,201,1096,17.146
329,193,1028,14.482
329,192,1044,13.626
329,193,1097,13.467
329,199,1147,13.579
329,214,1200,14.15
329,234,1258,14.957
329,249,1299,15.422
329,255,1328,15.676
329,256,1359,15.945
329,255,1370,16.319
329,249,1337,16.174
329,234,1274,15.579
329,213,1210,14.546
329,192,1143,13.848
329,170,1036,13.047
329,144,883,11.568
329,119,749,9.632
329,103,685,8.332
329,98,655,7.952
329,103,637,8.159
329,119,678,8.367
329,144,798,8.868
329,170,934,10.407
329,192,1033,12.083
329,213,1119,13.324
329,234,1228,14.267
329,249,1327,15.269
329,255,1387,16.47
329,256,1420,16.956
329,255,1415,16.945
329,249,1363,16.672
329,234,1300,16.215
329,214,1253,15.401
329,199,1204,14.666
329,193,1134,14.261
329,192,1057,14.088
329,192,999,13.741
329,193,975,13.36
329,199,972,13.491
329,214,983,14.291
329,234,1006,15.188
329,249,1019,15.885
329,255,1025,15.918
329,256,1044,16.254
329,255,1058,16.684
329,249,1036,16.787
329,234,986,15.955
329,214,950,14.866
329,199,936,14.112
329,193,922,13.912
329,193,921,13.702
329,199,973,14.128
329,216,1074,15.609
329,249,1198,17.881
329,302,1384,20.657
329,376,1688,24.952
329,464,2092,30.926
329,556,2525,38.622
329,654,3009,46.256
329,771,3581,54.238
329,907,4230,64.164
329,1043,4927,75.543
329,1170,5625,88.358
329,1305,6355,99.937
329,1462,7206,111.997
329,1624,8116,126.718
329,1767,8970,142.882
329,1898,9769,159.048
329,2043,10600,174.381
329,2205,11478,190.478
329,2365,12340,208.477
329,2518,13156,228.741
329,2674,13983,249.49
329,2840,14818,268.448
329,3020,15633,1577.42
329,3205,16444,308.991
329,3368,17245,325.313
329,3502,17988,341.989
329,3633,18599,358.229
329,3761,19030,370.7
329,3841,19216,379.936
329,3853,19174,384.011
329,3829,18979,1035.83
329,3790,18714,381.002
329,3713,18266,530.442
329,3575,17593,357.63
329,3390,16850,342.118
329,3191,16068,322.591
329,2994,15138,300.482
329,2789,14213,279.164
329,2573,13476,260.121
329,2376,12775,239.059
329,2223,12005,220.513
329,2098,11302,204.097
329,1980,10736,189.609
329,1877,10228,177.858
329,1801,9780,166.854
329,1745,9410,157.949
329,1693,9097,151.958
329,1632,8797,145.399
329,1561,8485,139.248
329,1490,8170,132.417
329,1425,7857,126.187
329,1360,7590,120.946
329,1282,7325,116.131
329,1192,6977,110.795
329,1109,6600,103.641
329,1036,6239,97.529
329,958,5842,91.514
329,882,5466,83.379
329,831,5232,76.934
329,803,5074,73.794
329,783,4885,71.271
329,772,4758,68.731
329,774,4773,67.472
329,785,4858,68.246
329,802,4912,69.923
329,828,4976,71.46
329,863,5107,72.667
329,895,5245,75.203
329,916,5350,77.453
329,935,5411,79.432
329,959,5433,80.618
329,979,5429,82.198
329,985,5430,83.973
329,981,5428,84.068
329,977,5400,84.048
329,973,5334,84.304
329,959,5230,84.835
329,933,5151,83.869
329,909,5143,82.619
329,899,5135,81.613
329,902,5104,82.03
329,912,5149,82.89
329,925,5277,83.809
329,945,5439,85.538
329,979,5653,88.136
329,1023,5941,92.099
329,1065,6233,96.711
329,1098,6482,100.923
329,1124,6694,105.602
329,1148,6900,109.345
329,1169,7016,112.885
329,1178,6954,115.8
329,1171,6813,116.593
329,1159,6754,116.887
329,1151,6715,117.532
329,1140,6575,117.539
329,1119,6364,116.63
329,1093,6158,114.558
329,1067,5941,111.853
329,1039,5690,108.304
329,1009,5428,104.885
329,980,5206,100.928
329,950,4984,96.821
329,917,4734,92.62
329,888,4534,87.509
329,868,4421,83.807
329,846,4324,82.085
329,811,4132,79.937
329,776,3923,75.255
329,760,3872,71.333
329,755,3915,70.149
329,739,3867,70.079
329,709,3701,68.657
329,678,3519,65.105
329,650,3366,61.804
329,616,3191,59.985
329,569,2952,56.98
329,512,2666,51.932
329,454,2355,45.967
329,399,2041,40.044
329,341,1761,34.506
329,279,1516,29.386
329,228,1298,23.914
329,201,1147,19.291
329,193,1086,16.638
329,192,1089,15.581
329,193,1120,15.149
329,199,1166,14.845
329,214,1227,15.177
329,234,1278,16.099
329,249,1321,17.067
329,255,1383,17.612
329,256,1446,17.983
329,255,1466,18.426
329,249,1431,18.423
329,234,1374,17.878
329,213,1309,16.7
329,192,1228,15.619
329,170,1107,14.659
329,144,934,12.912
329,119,769,10.644
329,103,685,8.797
329,98,659,8.092
329,103,661,8.083
329,119,732,8.394
329,144,882,9.293
329,170,1039,10.99
329,192,1156,12.78
329,213,1258,14.452
329,234,1367,16.055
329,249,1471,17.453
329,255,1549,18.319
329,256,1561,18.852
329,255,1497,18.927
329,249,1411,18.51
329,234,1345,17.42
329,214,1280,16.355
329,199,1202,15.134
329,193,1134,14.686
329,192,1081,14.74
329,192,1044,14.759
329,193,1036,14.573
329,199,1060,14.727
329,214,1104,15.57
329,234,1137,17.033
329,249,1162,18.257
329,255,1198,18.705
329,256,1232,19.201
329,255,1237,19.723
329,249,1203,19.804
329,234,1159,18.852
329,214,1127,17.554
329,199,1110,16.558
329,193,1096,16.006
329,193,1083,15.728
329,199,1119,16.016
329,216,1219,17.35
329,249,1369,19.821
329,302,1594,23.051
329,376,1916,27.874
329,464,2324,34.477
329,555,2777,42.645
329,647,3248,51.767
329,746,3740,102.545
329,846,4244,70.736
329,929,4730,81.135
329,992,5179,90.691
329,1051,5597,99.565
329,1115,5964,107.317
329,1177,6238,115.067
329,1230,6424,121.557
329,1277,6567,126.581
329,1330,6711,130.554
329,1399,6854,133.603
329,1473,6990,138.765
329,1527,7112,143.866
329,1557,7179,147.268
329,1585,7197,148.324
329,1618,7205,147.422
329,1632,7182,146.229
329,1611,7079,144.252
329,1568,6916,141.003
329,1519,6690,136.649
329,1463,6387,128.835
329,1389,6085,120.304
329,1296,5837,113.285
329,1204,5569,105.886
329,1131,5274,98.919
329,1067,5020,91.681
329,998,4803,717.096
329,937,4612,80.44
329,899,4457,76.107
329,874,4295,73.658
329,846,4121,70.987
329,811,3954,67
329,773,3781,63.199
329,737,3571,59.592
329,703,3321,56.019
329,665,3073,52.445
329,618,2861,47.79
329,565,2652,43.217
329,512,2386,39.259
329,456,2099,35.105
329,390,1829,30.411
329,321,1565,25.219
329,263,1324,20.689
329,214,1113,17.159
329,166,887,13.805
329,126,689,10.301
329,104,591,7.834
329,98,554,6.857
329,103,531,6.693
329,119,560,6.805
329,144,664,7.627
329,170,786,9.278
329,192,870,10.953
329,213,931,12.28
329,234,1003,13.303
329,249,1073,14.183
329,255,1115,15.02
329,256,1110,15.423
329,255,1056,15.622
329,249,986,15.066
329,234,933,14.557
329,214,897,13.49
329,199,861,12.803
329,193,823,12.597
329,192,800,12.572
329,192,803,12.39
329,193,818,12.424
329,199,836,12.223
329,214,870,12.912
329,234,916,13.876
329,249,962,14.879
329,255,1008,15.519
329,256,1047,15.901
329,255,1070,16.345
329,249,1072,16.255
329,234,1056,15.673
329,214,1037,14.654
329,199,1025,13.965
329,193,1007,13.393
329,193,969,13.184
329,199,953,13.347
329,215,1001,14.317
329,242,1102,16.141
329,278,1240,18.361
329,321,1406,21.495
329,368,1595,25.199
329,416,1782,28.896
329,465,1952,32.47
329,518,2128,37.055
329,575,2337,41.456
329,626,2544,46.119
329,660,2690,49.769
329,683,2788,53.024
329,709,2916,55.327
329,732,3055,58.745
329,732,3089,60.512
329,708,2986,60.16
329,678,2830,57.38
329,650,2683,54.281
329,616,2517,51.142
329,569,2309,47.989
329,512,2093,43.511
329,454,1884,37.893
329,399,1661,32.754
329,341,1434,28.673
329,279,1229,24.313
329,228,1047,19.715
329,201,900,15.664
329,193,808,13.372
329,192,776,12.552
329,193,781,12.288
329,199,789,12.258
329,214,805,12.606
329,234,839,14.013
329,249,876,13.989
329,255,910,14.263
329,256,948,14.678
329,255,981,15.116
329,249,984,15.122
329,234,961,14.558
329,213,934,13.99
329,192,904,13.513
329,170,835,12.59
329,144,710,10.999
329,119,606,9.237
329,103,572,7.91
329,98,552,7.698
329,103,513,7.858
329,119,511,7.841
329,144,587,8.106
329,170,683,9.309
329,192,746,10.863
329,213,798,12.002
329,234,870,12.816
329,249,936,13.828
329,255,973,14.93
329,256,983,15.131
329,255,970,14.982
329,249,928,14.632
329,234,876,14.259
329,214,844,13.5
329,199,824,12.851
329,193,792,12.544
329,192,751,12.311
329,192,731,11.936
329,193,734,11.752
329,199,742,11.941
329,214,770,12.637
329,234,814,13.63
329,249,847,14.352
329,255,868,14.813
329,256,893,15.531
329,255,922,15.945
329,249,926,18.797
329,234,897,15.704
329,214,867,14.932
329,199,860,14.343
329,193,848,13.908
329,193,817,13.574
329,199,829,13.743
329,216,902,15.076
329,249,996,17.081
329,302,1135,19.707
329,376,1370,23.945
329,464,1690,30.269
329,556,2038,37.512
329,654,2411,44.838
329,771,2860,52.33
329,907,3404,61.364
329,1043,3997,72.845
329,1171,4615,85.567
329,1312,5292,98.386
329,1488,6121,111.369
329,1691,7116,127.588
329,1900,8206,148.68
329,2121,9377,172.439
329,2388,10779,196.475
329,2720,12483,223.507
329,3101,14379,257.264
329,3512,16403,297
329,3965,18577,338.213
329,4493,20954,383.581
329,5102,23545,431.844
329,5751,26253,487.131
329,6401,28881,544.233
329,7063,31397,606.522
329,7757,33842,19762.4
329,8443,36152,719.651
329,9049,38108,924.284
329,9560,39669,819.376
329,10020,40959,1178.47
329,10435,41994,892.374
329,10758,42721,916.244
329,10982,43183,1585.08
329,11156,43618,943.978
329,11313,43947,961.059
329,11452,44164,963.475
329,11572,44531,968.904
329,11677,45113,979.619
329,11781,45591,982.762
329,11908,45987,988.558
329,12049,46501,1002.42
329,12154,47035,1656.88
329,12193,47154,1018.44
329,12185,46972,2290.64
329,12137,46690,1029.57
329,11993,46115,1014.01
329,11705,44870,3449.11
329,11310,43211,967.045
329,10861,41628,2238.07
329,10357,39802,887.735
329,9788,37550,846.59
329,9173,35323,796.498
329,8558,33272,741.52
329,7996,31244,692.977
329,7489,29289,647.048
329,7007,27567,604.43
329,6580,26174,2180.67
329,6250,25067,1170.37
329,5988,24086,501.946
329,5766,23257,480.406
329,5593,22765,462.333
329,5459,22524,447.852
329,5345,22114,438.519
329,5246,21894,429.76
329,5148,21773,431.147
329,5027,21579,462.309
329,4874,21114,412.82
329,4706,20517,401.7
329,4546,19952,388.179
329,4379,19331,370.484
329,4187,18526,354.844
329,4007,17785,339.386
329,3862,17265,324.22
329,3733,16720,312.563
329,3628,16225,303.494
329,3569,16066,295.425
329,3547,16147,293.796
329,3549,16206,293.046
329,3583,16309,294.299
329,3654,16642,297.985
329,3745,17052,305.213
329,3834,17240,313.357
329,3924,17396,319.499
329,4027,17848,1597.61
329,4121,18355,338.618
329,4178,18567,346.861
329,4209,18654,355.51
329,4234,18878,360.002
329,4252,19103,365.611
329,4254,19155,370.657
329,4241,19181,375.649
329,4232,19387,379.782
329,4244,19662,392.097
329,4275,19842,540.42
329,4322,20089,390.638
329,4390,20505,396.175
329,4479,20891,402.665
329,4583,21151,409.124
329,4697,21457,415.812
329,4810,21902,423.439
329,4907,22311,432.095
329,4983,22493,439.477
329,5045,22570,442.974
329,5102,22735,443.955
329,5143,22866,445.852
329,5150,22799,445.951
329,5137,22522,445.319
329,5134,22389,445.783
329,5142,22400,444.642
329,5139,22264,770.622
329,5123,22068,443.337
329,5110,21874,442.597
329,5098,21696,757.411
329,5065,21417,437.84
329,4994,21007,436.283
329,4885,20493,428.376
329,4749,19934,416.817
329,4597,19224,1077.01
329,4434,18445,395.51
329,4255,17743,375.859
329,4054,16990,355.624
329,3852,16136,338.703
329,3676,15394,318.065
329,3513,14819,302.703
329,3341,14231,288.524
329,3177,13585,270.998
329,3049,13069,257.692
329,2949,12712,247.16
329,2841,12321,1491.61
329,2706,11720,230.429
329,2560,11031,218.174
329,2417,10477,368.147
329,2268,9930,193.941
329,2105,9228,179.568
329,1934,8493,163.166
329,1775,7841,147.513
329,1646,7296,134.442
329,1540,6865,122.23
329,1449,6539,113.458
329,1388,6325,107.576
329,1364,6221,103.411
329,1363,6160,100.925
329,1375,6164,99.979
329,1396,6314,99.428
329,1423,6536,100.814
329,1458,6705,103.743
329,1500,6822,106.899
329,1541,6923,109.103
329,1567,7030,116.442
329,1567,7094,113.016
329,1549,7071,112.829
329,1526,6968,111.726
329,1496,6804,109.208
329,1459,6619,106.273
329,1427,6494,103.267
329,1406,6411,102.02
329,1398,6287,100.911
329,1408,6229,100.019
329,1435,6308,101.139
329,1473,6474,102.719
329,1516,6640,105.252
329,1564,6806,108.37
329,1619,7008,112.227
329,1667,7148,115.993
329,1693,7188,119.172
329,1707,7212,202.008
329,1722,7283,121.955
329,1730,7335,122.76
329,1720,7305,122.795
329,1697,7230,122.079
329,1678,7153,122.047
329,1678,7132,121.374
329,1702,7246,121.517
329,1756,7538,124.755
329,1852,7984,132.612
329,1991,8546,142.907
329,2166,9239,156.571
329,2375,10115,172.712
329,2607,11143,191.216
329,2846,12196,213.646
329,3092,13240,238.777
329,3347,14308,261.753
329,3594,15332,284.037
329,3805,16236,303.969
329,3965,16961,323.203
329,4086,17486,339.823
329,4186,17848,351.464
329,4256,18133,1667.99
329,4286,18376,365.728
329,4302,18575,369.475
329,4331,18734,373.606
329,4378,18910,377.564
329,4449,19189,381.194
329,4553,19627,388.644
329,4694,20136,1045.02
329,4879,20808,414.057
329,5110,21652,432.729
329,5363,22586,457.116
329,5597,23522,476.645
329,5791,24274,496.234
329,5960,24995,511.992
329,6101,25607,529.989
329,6173,25930,541.648
329,6168,25952,547.693
329,6117,25789,548.113
329,6031,25561,544.573
329,5898,25123,539.613
329,5711,24575,525.562
329,5485,23986,509.06
329,5260,23287,491.973
329,5062,22529,471.545
329,4876,21896,455.962
329,4692,21411,1754.18
329,4527,21004,2881.64
329,4390,20509,407.891
329,4275,20044,394.461
329,4159,19620,383.139
329,4016,19096,377.169
329,3856,18452,365.067
329,3697,17741,345.167
329,3532,16937,325.188
329,3349,16093,305.806
329,3142,15275,286.558
329,2921,14373,268.453
329,2705,13400,248.496
329,2485,12501,228.731
329,2243,11567,208.033
329,2007,10591,189.231
329,1811,9724,168.447
329,1636,8919,152.479
329,1467,8126,137.47
329,1320,7460,120.651
329,1198,6929,108.213
329,1100,6431,98.365
329,1027,5971,89.961
329,971,5569,82.773
329,924,5277,77.551
329,879,5091,72.913
329,835,4850,70.274
329,795,4570,66.406
329,751,4332,62.57
329,701,4101,58.661
329,659,3898,53.858
329,625,3689,50.142
329,590,3417,47.565
329,558,3151,43.827
329,534,3002,40.187
329,519,2951,38.55
329,514,2918,38.97
329,519,2913,38.933
329,534,2966,39.345
329,555,3060,40.586
329,577,3152,42.331
329,604,3244,44.093
329,639,3354,45.995
329,671,3454,48.672
329,690,3526,51.171
329,698,3535,52.581
329,698,3477,53.207
329,690,3407,52.923
329,672,3344,51.48
329,645,3265,50.475
329,620,3157,48.628
329,604,3054,47.081
329,592,2981,45.544
329,583,2956,44.604
329,585,3006,44.673
329,606,3116,45.924
329,649,3263,48.458
329,709,3469,51.712
329,774,3753,56.03
329,836,4092,61.789
329,896,4408,67.205
329,957,4671,73.171
329,1022,4933,78.554
329,1091,5213,83.169
329,1159,5504,88.369
329,1224,5778,94.377
329,1290,6046,99.683
329,1357,6326,105.372
329,1414,6568,111.335
329,1455,6747,116.897
329,1488,6861,119.216
329,1520,6955,121.325
329,1550,7066,123.385
329,1572,7145,125.528
329,1580,7163,127.016
329,1573,7130,127.024
329,1554,7022,127.243
329,1524,6859,124.924
329,1477,6681,123.255
329,1413,6441,119.482
329,1352,6154,113.414
329,1311,5944,108.51
329,1281,5800,105.05
329,1242,5633,101.805
329,1189,5413,97.142
329,1138,5168,92.242
329,1099,4934,88.14
329,1060,4698,84.693
329,1011,4447,80.069
329,955,4192,75.261
329,897,3944,70.133
329,840,3694,65.238
329,779,3455,58.97
329,710,3243,53.978
329,648,3028,49.946
329,605,2814,45.197
329,570,2623,41.308
329,533,2501,38.051
329,499,2455,36.034
329,477,2418,34.94
329,473,2360,34.395
329,486,2333,33.902
329,508,2385,33.574
329,532,2509,33.854
329,554,2639,35.49
329,572,2711,37.556
329,587,2747,38.435
329,595,2782,38.781
329,593,2816,39.069
329,588,2841,39.435
329,581,2835,39.493
329,568,2776,38.778
329,551,2682,37.516
329,533,2633,36.424
329,519,2609,36.29
329,514,2560,36.055
329,519,2520,35.941
329,534,2537,36.14
329,555,2603,36.936
329,577,2670,38.735
329,604,2730,39.989
329,639,2815,41.346
329,671,2905,43.226
329,690,2965,44.899
329,698,2971,46.273
329,698,2936,46.586
329,690,2890,46.516
329,672,2830,45.459
329,645,2754,44.278
329,620,2667,43.089
329,604,2566,41.782
329,592,2466,40.249
329,583,2426,39.155
329,585,2481,39.375
329,607,2582,41.101
329,656,2705,43.414
329,733,2903,46.957
329,830,3237,52.153
329,938,3693,58.797
329,1054,4188,67.455
329,1183,4730,76.831
329,1334,5369,86.518
329,1504,6116,98.07
329,1684,6949,111.479
329,1880,7830,127.241
329,2103,8796,143.753
329,2348,9868,161.476
329,2597,11020,182.316
329,2841,12208,205.04
329,3089,13391,229.1
329,3346,14589,253.135
329,3592,15785,278.642
329,3805,16873,302.949
329,3982,17782,326.192
329,4123,18471,346.119
329,4233,18991,361.603
329,4318,19398,371.75
329,4366,19789,2931.55
329,4374,20033,386.486
329,4370,20140,388.686
329,4370,20256,387.731
329,4356,20357,387.213
329,4319,20363,387.907
329,4275,20284,384.513
329,4243,20271,383.628
329,4226,20375,380.041
329,4201,20436,377.972
329,4156,20378,377.7
329,4113,20351,377.34
329,4079,20310,373.771
329,4041,20100,1020.77
329,3998,19967,370.379
329,3949,19998,364.728
329,3898,19986,358.905
329,3859,19812,352.218
329,3823,19550,347.884
329,3766,19289,342.793
329,3690,19028,334.698
329,3610,18603,327.9
329,3523,18008,322.388
329,3413,17394,311.285
329,3265,16723,299.116
329,3088,15909,285.538
329,2909,15026,269.833
329,2732,14126,252.62
329,2549,13253,235.828
329,2366,12540,219.761
329,2196,11924,205.959
329,2052,11302,196.292
329,1931,10753,181.883
329,1819,10296,170.415
329,1728,9910,160.561
329,1674,9649,150.404
329,1638,9386,145.012
329,1604,9091,796.641
329,1571,8852,136.762
329,1536,8658,1431.66
329,1509,8497,129.054
329,1493,8378,125.875
329,1476,8299,125.123
329,1455,8263,121.803
329,1429,8192,120.604
329,1399,8025,119.456
329,1373,7833,116.813
329,1347,7647,113.883
329,1316,7395,111.413
329,1292,7218,108.66
329,1274,7094,106.993
329,1248,6884,106.444
329,1219,6704,104.526
329,1194,6614,101.176
329,1171,6551,99.608
329,1155,6499,98.733
329,1148,6446,118.07
329,1147,6436,97.624
329,1154,6543,97.706
329,1172,6736,99.146
329,1208,6933,101.573
329,1267,7152,105.402
329,1338,7459,109.863
329,1407,7824,116.029
329,1470,8167,122.479
329,1522,8468,130.213
329,1556,8692,135.831
329,1571,8804,140.73
329,1566,8785,142.943
329,1545,8667,143.172
329,1517,8514,142.133
329,1478,8318,140.063
329,1421,8049,136.84
329,1353,7732,132.064
329,1289,7442,126.722
329,1238,7164,122.899
329,1197,6865,116.617
329,1162,6636,111.292
329,1132,6508,106.94
329,1103,6371,104.104
329,1071,6196,101.917
329,1032,5967,99.467
329,981,5645,95.744
329,919,5273,90.542
329,854,4914,85.237
329,794,4597,79.34
329,737,4293,74.234
329,677,3965,69.757
329,621,3658,64.471
329,578,3438,58.948
329,546,3256,54.18
329,524,3081,50.763
329,513,2934,47.61
329,507,2843,45.783
329,499,2774,43.985
329,486,2701,42.533
329,467,2622,41.249
329,443,2516,39.562
329,418,2371,37.188
329,402,2254,34.137
329,401,2250,32.22
329,403,2315,32.377
329,393,2312,32.546
329,374,2227,31.782
329,359,2153,29.972
329,352,2133,28.786
329,346,2113,28.299
329,335,2035,27.83
329,319,1901,27.102
329,298,1735,25.312
329,270,1578,23.548
329,234,1423,21.324
329,193,1215,18.535
329,156,961,15.37
329,129,744,11.722
329,107,608,8.918
329,86,538,7.338
329,72,528,6.344
329,72,558,5.893
329,86,596,6.064
329,106,643,6.698
329,121,710,7.344
329,127,782,7.931
329,128,822,8.292
329,128,802,8.422
329,128,772,8.267
329,128,791,8.188
329,128,838,8.384
329,127,856,8.508
329,121,812,8.434
329,106,708,7.755
329,85,581,6.553
329,65,474,5.365
329,49,387,4.574
329,38,315,3.837
329,34,277,3.095
329,38,299,2.666
329,49,368,2.825
329,65,459,3.56
329,85,581,4.596
329,106,722,5.875
329,121,833,7.089
329,127,880,8.02
329,128,861,8.468
329,128,813,8.429
329,128,802,8.365
329,128,846,8.004
329,128,866,7.982
329,127,816,8.009
329,121,741,7.826
329,106,667,7.364
329,86,598,6.504
329,72,548,5.627
329,72,530,5.189
329,86,555,5.427
329,106,621,6.198
329,121,701,7.173
329,127,768,8.079
329,128,796,8.739
329,128,767,9.114
329,128,717,9.02
329,128,696,8.601
329,128,701,8.428
329,127,699,8.554
329,121,660,8.384
329,106,581,7.753
329,86,503,6.79
329,72,472,5.842
329,72,514,5.553
329,87,626,6.067
329,113,796,7.789
329,144,974,9.871
329,177,1130,12.316
329,215,1294,14.753
329,263,1509,17.367
329,320,1822,20.765
329,378,2210,25.25
329,432,2581,30.352
329,483,2895,35.818
329,526,3141,40.761
329,551,3297,45.242
329,560,3375,47.805
329,568,3416,48.996
329,589,3476,50.219
329,626,3571,51.725
329,670,3668,54.688
329,709,3734,57.976
329,741,3768,59.419
329,773,3783,60.419
329,803,3812,60.43
329,818,3863,61.768
329,816,3882,62.43
329,812,3845,62.817
329,815,3775,61.638
329,814,3708,60.609
329,795,3665,57.764
329,756,3566,55.672
329,704,3361,53.36
329,649,3120,49.6
329,594,2940,44.276
329,540,2788,40.388
329,500,2621,37.359
329,482,2503,35.268
329,473,2424,33.882
329,458,2345,33.042
329,437,2309,31.715
329,417,2271,30.247
329,401,2148,29.268
329,388,1972,28.482
329,374,1820,25.655
329,356,1708,23.472
329,336,1596,21.487
329,315,1453,19.912
329,291,1293,17.878
329,262,1162,15.935
329,229,1071,14.019
329,197,973,12.37
329,165,828,10.843
329,128,648,8.958
329,92,482,6.546
329,66,369,4.505
329,49,303,3.312
329,38,251,2.745
329,34,226,2.388
329,38,254,2.205
329,49,311,2.541
329,65,366,3.218
329,85,423,3.983
329,106,494,4.813
329,121,564,5.777
329,127,603,6.565
329,128,596,6.88
329,128,568,6.918
329,128,555,6.673
329,128,569,6.619
329,128,573,6.636
329,127,535,6.625
329,121,482,6.388
329,106,448,5.924
329,86,433,5.353
329,72,416,4.778
329,72,399,4.403
329,86,404,4.567
329,106,446,5.047
329,121,510,5.761
329,127,563,6.474
329,128,587,6.956
329,128,580,7.137
329,128,565,7.041
329,128,570,6.983
329,128,586,6.809
329,127,585,6.798
329,121,548,6.708
329,106,482,6.157
329,86,416,5.344
329,72,381,4.637
329,72,414,4.369
329,87,497,4.706
329,113,603,5.871
329,143,719,7.605
329,170,830,9.531
329,191,914,11.109
329,208,962,12.463
329,225,1021,13.509
329,246,1117,14.51
329,274,1227,15.947
329,310,1346,17.94
329,350,1481,20.345
329,380,1603,22.93
329,386,1658,24.657
329,373,1627,24.962
329,359,1544,23.931
329,352,1460,22.525
329,346,1387,21.402
329,335,1315,20.396
329,319,1243,19.58
329,298,1149,18.477
329,270,1031,16.962
329,234,899,15.393
329,193,757,13.426
329,156,614,10.831
329,129,484,8.205
329,107,393,6.343
329,86,354,5.274
329,72,355,4.746
329,72,368,4.532
329,86,371,4.619
329,106,384,4.989
329,121,423,5.439
329,127,459,5.921
329,128,473,6.396
329,128,469,6.559
329,128,464,6.435
329,128,475,6.351
329,128,492,6.302
329,127,494,6.368
329,121,466,6.273
329,106,412,5.728
329,85,356,4.886
329,65,323,4.211
329,49,293,3.743
329,38,242,3.082
329,34,201,2.472
329,38,208,2.238
329,49,249,2.453
329,65,291,3.118
329,85,334,3.718
329,106,386,4.373
329,121,437,5.147
329,127,468,5.838
329,128,474,6.183
329,128,471,6.256
329,128,479,6.431
329,128,504,6.299
329,128,515,6.439
329,127,493,6.366
329,121,454,6.19
329,106,415,5.666
329,86,388,5.109
329,72,372,4.65
329,72,354,4.325
329,86,343,4.344
329,106,361,4.67
329,121,399,5.129
329,127,429,5.659
329,128,440,6.112
329,128,437,6.296
329,128,430,6.225
329,128,426,6.05
329,128,427,6.002
329,127,428,6.015
329,121,413,5.895
329,106,378,5.468
329,86,338,4.79
329,72,317,4.286
329,72,329,4.077
329,87,382,4.466
329,113,473,5.596
329,144,573,7.474
329,177,668,9.296
329,215,782,11.018
329,263,938,12.978
329,320,1163,15.812
329,379,1451,19.477
329,439,1745,23.696
329,508,2030,28.768
329,587,2329,33.274
329,664,2646,38.43
329,732,2989,44.62
329,804,3363,50.788
329,901,3827,56.853
329,1027,4452,64.836
329,1168,5181,75.729
329,1316,5948,88.777
329,1480,6780,101.568
329,1666,7662,114.88
329,1860,8548,128.767
329,2043,9413,142.277
329,2214,10189,157.849
329,2392,10911,171.819
329,2587,11671,185.508
