1,14,0.025,83039,30
0,0,0.105,209515460,52
24,55,0.194,2500822,128
181,178,1.364,2500822,128
502,342,5.978,2500822,128
5,16,0.103,14030,128
5,19,9.516,14030,128
10,45,0.17,245547105,128
24,88,0.734,245547105,128
90,218,1.438,245547105,128
317,435,4.207,245547105,128
2,6,0.009,103,11
5,13,0.009,103,11
0,0,0.015,7407,23
0,0,0.219,39473983,47
0,0,0.377,1.07905E+15,95
2,17,0.148,7535369,100
10,51,0.223,7535369,100
20,108,0.875,7535369,100
33,157,1.764,7535369,100
54,289,2.768,7535369,100
118,567,5.161,7535369,100
237,1044,11.972,7535369,100
440,1867,25.313,7535369,100
856,3489,85.597,7535369,100
1586,5935,101.87,7535369,100
2745,9744,202.419,7535369,100
4392,14746,364.262,7535369,100
1,4,0.03,462,25
2,8,0.01,462,25
4,15,0.021,462,25
8,23,0.058,462,25
3,12,0.084,462,25
6,17,0.021,462,25
0,0,0.046,462,25
2,9,0.019,2635,36
4,14,0.033,2635,36
6,23,0.057,2635,36
14,41,0.089,2635,36
19,67,0.296,2635,36
32,103,0.285,2635,36
33,105,0.656,2635,36
31,98,0.763,2635,36
32,102,0.738,2635,36
1,6,0.028,16870,49
2,11,0.025,16870,49
2,12,0.049,16870,49
3,17,0.047,16870,49
4,21,0.065,16870,49
11,47,0.341,16870,49
18,73,0.384,16870,49
24,94,0.463,16870,49
39,153,1.049,16870,49
62,230,1.496,16870,49
86,289,1.463,16870,49
115,366,10.032,16870,49
117,370,3.973,16870,49
8,35,0.149,4558093,96
38,137,0.8,4558093,96
143,453,3.713,4558093,96
473,1284,14.755,4558093,96
1526,3611,50.106,4558093,96
4361,8986,170.576,4558093,96
10966,20091,493.672,4558093,96
23254,38794,1459.12,4558093,96
41070,62561,4042.86,4558093,96
55294,78116,6763.25,4558093,96
1,7,0.054,118969,64
4,17,0.042,118969,64
8,37,0.171,118969,64
17,79,0.398,118969,64
29,129,0.838,118969,64
62,229,1.512,118969,64
96,363,3.624,118969,64
181,616,6.415,118969,64
272,879,11.214,118969,64
1,8,0.114,915442,81
4,20,0.083,915442,81
6,33,0.299,915442,81
9,50,0.427,915442,81
18,88,0.792,915442,81
28,151,1.58,915442,81
48,220,2.972,915442,81
88,399,3.994,915442,81
