step,size,zdd,time
0,IS,0.2708618640899658,2022benchmark-main/benchmark/sp/sp005.col,2022benchmark-main/benchmark/sp/sp005_01.dat
1,5,29,0.107
2,15,62,0.236
3,31,109,0.472
4,50,167,0.756
5,73,244,1.138
6,104,337,1.757
7,142,438,2.554
8,176,544,2.866
9,204,631,4.924
10,237,709,5.167
11,272,805,5.45
12,294,876,5.391
13,303,914,6.307
14,310,936,10.104
15,313,952,9.836
16,305,937,6.567
17,287,902,11.214
18,262,857,7.568
19,236,795,5.136
20,215,719,4.88
21,193,671,5.478
22,168,620,4.825
23,151,563,4.418
24,144,530,4.398
25,139,520,4.167
26,135,520,3.828
27,135,520,19.844
28,138,525,4.237
29,144,550,4.411
30,150,584,6.534
31,151,591,5.575
32,149,572,6.198
33,147,569,4.255
34,144,578,6.747
35,137,571,8.825
36,123,517,4.289
37,107,444,5.229
38,95,405,3.366
39,82,380,2.881
40,64,323,2.553
41,50,255,2.028
42,44,227,1.63
43,38,212,1.461
44,33,190,1.23
45,33,183,1.052
46,37,189,1.011
47,42,206,1.071
48,46,219,1.216
49,52,243,1.346
50,59,272,2.368
51,63,285,2.454
52,65,297,3.853
53,68,317,2.189
54,71,337,3.911
55,71,338,2.328
56,68,325,7.455
57,64,309,2.938
58,61,298,2.251
59,59,281,2.443
60,56,254,1.886
61,54,232,1.675
62,55,224,1.495
63,57,227,1.53
64,60,224,1.701
65,63,228,1.656
66,64,232,3.247
67,65,243,1.55
68,68,256,1.628
69,71,265,1.671
70,71,268,1.689
71,68,257,1.66
72,64,251,1.721
73,61,250,1.768
74,59,245,1.511
75,56,231,1.503
76,55,230,1.429
77,59,240,1.621
78,65,253,1.536
79,71,267,2.248
80,77,288,1.551
81,84,317,1.64
82,91,343,1.956
83,97,362,2.191
84,103,387,3.86
85,108,414,3.126
86,110,431,2.52
87,109,446,2.627
88,108,456,2.783
89,108,457,2.892
90,105,466,2.844
91,98,464,4.341
92,94,452,2.874
93,95,449,2.426
94,95,446,2.572
95,91,436,2.439
96,86,416,2.329
97,83,394,4.968
98,80,380,2.065
99,75,358,1.836
100,68,320,3.261
101,60,289,1.655
102,53,263,1.411
103,47,229,1.216
104,39,186,1.015
105,30,153,0.847
106,25,129,0.662
107,24,120,0.554
108,24,123,0.513
109,24,128,0.524
110,24,130,3.25
111,25,142,0.57
112,28,165,0.673
113,31,184,0.731
114,32,190,0.827
115,32,187,0.838
116,32,187,0.858
117,32,187,0.836
118,31,183,0.824
119,28,165,0.79
120,25,146,0.753
121,23,135,0.655
122,20,125,0.59
123,16,104,0.527
124,13,86,0.44
125,12,74,0.348
126,12,71,0.299
127,13,80,0.313
128,16,94,0.349
129,20,105,0.405
130,23,112,0.464
131,25,128,0.519
132,28,150,0.616
133,31,167,0.695
134,32,169,0.765
135,32,169,0.828
136,32,166,0.791
137,32,167,0.94
138,31,165,0.945
139,28,156,0.917
140,25,142,0.833
141,24,132,0.736
142,24,129,0.658
143,24,119,0.628
144,24,107,0.685
145,24,104,0.536
146,25,114,0.573
147,28,128,0.558
148,31,139,0.605
149,32,143,0.659
150,32,143,0.637
151,32,146,0.667
152,32,144,0.643
153,31,141,0.648
154,28,133,4.071
155,25,127,0.601
156,24,123,0.525
157,24,122,0.552
158,24,120,0.569
159,25,126,0.587
160,28,140,0.606
161,33,165,0.689
162,41,201,0.826
163,52,248,3.103
164,64,301,1.292
165,75,349,1.545
166,86,385,1.826
167,99,434,2.118
168,110,480,2.386
169,115,497,4.054
170,117,505,2.788
171,120,518,2.859
172,121,523,3.054
173,118,513,3.078
174,113,486,3.059
175,108,453,10.608
176,107,445,2.894
177,108,459,4.101
178,108,461,2.867
179,108,455,2.993
180,109,453,4.286
181,113,482,2.945
182,119,507,3.277
183,122,517,3.669
184,122,514,3.536
185,124,536,3.342
186,127,556,6.536
187,126,550,3.43
188,122,543,3.359
189,116,515,3.336
190,108,493,3.072
191,102,475,3.004
192,94,447,5.48
193,83,400,5.661
194,77,370,2.59
195,74,356,2.244
196,68,333,2.121
197,61,292,2.142
198,56,260,1.859
199,52,251,1.609
200,49,235,1.572
201,48,214,1.518
202,46,201,1.464
203,43,176,1.282
204,41,174,1.169
205,38,167,1.14
206,35,155,1.1
207,31,142,0.986
208,26,126,1.561
209,23,108,0.698
210,19,93,0.565
211,13,67,0.481
212,9,48,0.361
213,7,34,0.257
214,5,27,0.168
215,4,29,0.129
216,4,33,0.143
217,5,35,0.157
218,7,37,0.171
219,9,52,0.203
220,12,69,0.273
221,15,78,0.353
222,16,75,0.403
223,16,76,0.397
224,16,80,0.387
225,16,85,0.414
226,16,86,0.431
227,16,84,0.416
228,16,77,0.417
229,16,73,0.39
230,15,73,0.364
231,12,68,0.344
232,9,56,0.299
233,8,49,0.251
234,9,51,0.225
235,12,55,0.228
236,15,62,0.258
237,16,64,0.279
238,16,65,0.275
239,16,71,0.281
240,16,77,0.296
241,16,74,0.296
242,16,71,0.299
243,16,68,0.301
244,16,66,0.286
245,15,65,0.341
246,12,60,0.332
247,9,53,0.276
248,8,49,0.26
249,9,52,0.262
250,12,61,0.299
251,16,79,0.363
252,20,96,0.457
253,23,108,0.576
254,25,118,0.611
255,27,126,0.687
256,29,142,0.723
257,32,160,0.777
258,36,174,0.874
259,41,191,0.96
260,47,211,1.086
261,50,219,1.235
262,48,211,1.313
263,45,196,1.212
264,44,183,1.118
265,44,171,1.025
266,43,164,0.957
267,41,155,0.915
268,39,145,0.913
269,36,140,0.816
270,32,123,0.732
271,27,100,0.636
272,21,80,0.518
273,17,67,0.396
274,15,57,0.306
275,12,50,0.252
276,9,44,0.22
277,8,40,0.199
278,9,49,0.204
279,12,60,0.251
280,15,67,0.311
281,16,70,0.371
282,16,72,0.343
283,16,77,0.349
284,16,79,0.371
285,16,77,0.387
286,16,72,0.376
287,16,70,0.374
288,16,69,0.362
289,15,70,0.351
290,12,60,0.351
291,9,46,0.306
292,7,35,0.224
293,5,32,0.162
294,4,33,0.139
295,4,30,0.138
296,5,27,0.135
297,7,31,0.148
298,9,43,0.201
299,12,57,0.292
300,15,67,0.349
301,16,68,0.371
302,16,69,0.373
303,16,68,0.371
304,16,70,0.392
305,16,71,0.408
306,16,72,0.41
307,16,69,0.427
308,16,67,0.411
309,15,65,0.379
310,12,60,0.349
311,9,51,0.297
312,8,43,0.259
313,9,51,0.23
314,12,60,0.239
315,15,69,0.269
316,16,70,0.284
317,16,71,0.287
318,16,71,0.299
319,16,70,0.317
320,16,69,0.309
321,16,69,0.31
322,16,70,0.316
323,16,68,0.316
324,15,63,0.314
325,12,54,0.295
326,9,44,0.261
327,8,39,0.249
328,9,43,0.283
329,12,52,0.328
330,16,69,3.308
331,20,88,0.459
332,24,107,0.554
333,29,123,0.655
334,36,147,0.791
335,44,176,1.003
336,51,200,1.229
337,58,227,1.31
338,68,262,1.488
339,79,303,1.754
340,88,342,2.008
341,95,381,2.26
342
343,Perfect!
