step,size,zdd,time
0,IS,3.019733190536499,2022benchmark-main/benchmark/power/hc-power-004-002.col,2022benchmark-main/benchmark/power/hc-power-004-002_01.dat
309,2,47,0.094
310,2,47,0.155
311,4,72,0.158
312,8,129,0.26
313,13,216,0.455
314,23,350,0.773
315,39,513,1.287
316,58,711,1.887
317,78,909,2.667
318,91,1057,6.31
319,86,1071,4.17
320,65,896,3.892
321,41,634,2.988
322,24,389,2.107
323,17,299,1.119
324,17,285,0.865
325,20,321,1.001
326,26,415,1.112
327,33,513,1.479
328,37,531,1.831
329,39,521,1.942
330,38,505,1.914
331,32,434,1.889
332,25,352,1.655
333,18,285,1.233
334,11,210,1.002
335,6,127,0.705
336,3,71,0.396
337,2,50,1.703
338,2,49,0.142
339,2,47,0.103
340,2,44,0.104
341,3,71,0.146
342,4,90,0.25
343,6,114,0.323
344,12,186,0.404
345,20,275,0.661
346,29,398,1.019
347,37,526,5
348,37,548,2.458
349,28,436,2.134
350,17,277,1.703
351,9,156,0.918
352,5,97,0.387
353,4,72,0.261
354,4,71,0.274
355,5,108,0.277
356,7,154,0.376
357,9,177,0.553
358,12,193,0.642
359,14,208,0.689
360
